Deliverable,Task to be done,Assignee,Start Date,Planned Due Date,Due Date,Customer,Task Type,Status,Remarks,Completed,Reviewer,Client rework count,Tentative Time,Last edited time,Internal rework count,Completion Date,Created Time
Pratap Snacks Config,Configure OSH,U06LK54V5EF,2025-12-01,,2025-12-09,Pratap Snacks,BAU,Completed,,false,,0,2,1773223661,0,,2025-12-09
Calibre comments,"ESG report, Framework and deck",U0877RUHX4M,2025-12-08,,2025-12-12,Calibre,BAU,Completed,,true,,0,3,1767625276,0,,2025-12-08
Build expertise in Supply Chain Sustainability,Vendor performance report & improvement plan (Custom GPT) development,U08MDDVKE1X,,,2025-12-12,Hetero,New,Completed,,false,UJ9KR034Z,0,3,1771346245,0,2026-02-17,2025-12-07
Ventive Previous Year Data Population and Review: Meeting,Conrad and Anantara,U08MDDVKE1X,2025-12-08,,2025-12-09,Ventive,BAU,Completed,,true,,0,2,1765371267,0,,2025-12-07
Build GRI 101 Biodiversity Framework,"• Integrate the framework in the portal
• Update in the RM",U08MDDVKE1X,2025-12-05,,2025-12-10,Internal,,Completed,,true,,0,4.5,1765456621,0,,2025-12-07
Nasik Data,Check data and fill data on OSH,U06LK54V5EF,2025-12-08,,2025-12-16,ADF,BAU,Completed,,false,,0,4,1773223652,0,,2025-12-05
GRI Training,Training of Departments,U08MDDVKE1X,2025-12-12,,2025-12-12,Alliance,BAU,Completed,,true,,0,2.5,1765541637,0,,2025-12-02
EcoVadis Gap,,U0877RUHX4M,2025-12-01,,2025-12-19,TCIL,New,Completed,,true,,0,5,1767625334,0,,2025-12-01
Material Topics for Infra. Market,Create material topic for infra market,U06LK54V5EF,2025-11-24,,2025-12-19,Internal,New,Completed,,false,,0,6,1766146160,0,,2025-12-01
Harshada  ESG Training RMC,Harshada  ESG Training RMC,U06LK54V5EF,2025-12-02,,2025-12-02,Infra.Market,BAU,Completed,,false,,0,1,1773223694,0,,2025-11-30
Harshada  ESG Training HR,Harshada  ESG Training HR,U06LK54V5EF,2025-12-02,,2025-12-02,Infra.Market,BAU,Completed,,false,,0,2,1773223688,0,,2025-11-30
Pratap Snacks Config,Config OSH for pratap snacks,U06LK54V5EF,2025-12-01,,2025-12-01,Pratap Snacks,BAU,Completed,,false,,0,2,1764596054,0,,2025-11-30
Infra BRSR Trainings,"IT, CS, Fin, HR, RMC",U0877RUHX4M,2025-12-01,,2025-12-05,Infra.Market,New,Completed,,true,,0,6,1767625335,0,,2025-11-28
Management Letter content,"Obs, Gaps & recommendations during the engagement",U0877RUHX4M,2025-11-27,,2025-11-28,AquaChemie,BAU,Completed,,true,,0,1.5,1767625275,0,,2025-11-27
Maturity revisit ,,U0877RUHX4M,2025-11-19,,2025-11-21,Internal,Upgrade,Completed,,true,,0,7,1767625329,0,,2025-11-21
Gulabrandsen Report design,Update and change the design as per the order,U06LK54V5EF,2025-11-21,,2025-11-25,Gulbrandsen,BAU,Completed,,false,,0,3,1763725876,0,,2025-11-21
Arene Life email change and reassignment,change emaail ids and reassign questions,U06LK54V5EF,2025-11-21,,2025-11-21,Arene,New,Completed,,false,,0,2,1763725848,0,,2025-11-21
Send OSH Update mail,Send OSH update mail to all my clients,U06LK54V5EF,2025-11-21,,2025-11-21,Internal,New,Completed,,false,,0,1,1763725852,0,,2025-11-21
Update Calibre Board PPT,,U0877RUHX4M,2025-11-19,,2025-11-21,Calibre,BAU,Completed,,true,,0,2,1767625274,0,,2025-11-19
Create Roadmap for INDOCO,Create a roadmap for INDOCO for FY 25-26,"U06LK54V5EF,UJ9KR034Z",2025-11-17,,2025-12-02,Indoco,New,Completed,,false,,0,2,1773223519,0,,2025-11-17
Update email template,Update the email template and share monthly data hygine reports for each client through email,U06LK54V5EF,2025-11-24,,2025-11-28,Internal,New,Completed,,false,,0,2,1764303752,0,,2025-11-17
Improve cx experience in OSH,Automate Slack weekly report on # or customer queries received & resolved,U06LK54V5EF,2025-11-20,,2025-11-28,Internal,BAU,Completed,,false,,0,1,1764303708,0,,2025-11-17
Review info pages,,U0877RUHX4M,2025-11-10,,2025-11-14,Internal,BAU,Completed,,true,,0,2,1767625335,0,,2025-11-16
Train Kabir on MA,"Shared materials, to update him on BSI",U0877RUHX4M,2025-11-17,,2025-11-20,Internal,BAU,Completed,,true,,0,4,1767625273,0,,2025-11-16
Exploring frameworks,IR,U0877RUHX4M,2025-11-17,,2025-11-21,Internal,New,Completed,,true,,0,2,1767625336,0,,2025-11-16
ADF Data validation and input,Validate data and enter in OSH,U06LK54V5EF,2025-11-17,,2025-12-04,ADF,BAU,Completed,,false,,0,4,1764845563,0,,2025-11-14
Train Kabir to conduct Materiality Assessment for BSI,,U0877RUHX4M,2025-11-24,,2025-12-05,Internal,New,Completed,,true,,0,2,1765164878,0,,2025-11-11
Develop an USP for SR,Brainstorm ideas with team.,U0877RUHX4M,2025-11-24,,2026-03-31,Internal,,Yet to start,,false,,0,2,1773715807,0,,2025-11-11
Update the Materiality assessmet/DMA Process Document,,U0877RUHX4M,2025-11-17,,2025-11-28,Internal,Upgrade,Completed,,true,,0,3,1767625338,0,,2025-11-11
Develop energy balance with company growth and scenario planning Excel with dummy data,,U0877RUHX4M,2025-11-24,,2025-12-05,Internal,New,Completed,,true,,0,3,1765164903,0,,2025-11-11
Conduct EcoVadis gap assessment,Start by understanding the requirements under EcoVadis,U0877RUHX4M,2025-11-17,,2025-11-21,Internal,Upgrade,Completed,,true,,0,4,1767625339,0,,2025-11-11
ADF account setup,Configure ADF RM,U06LK54V5EF,2025-11-12,,2025-11-17,ADF,BAU,Completed,,false,,0,2,1763354921,0,,2025-11-11
Build expertise in Supply Chain Sustainability,Client SCS performance report & improvement plan (Custom GPT) development,U08MDDVKE1X,2025-11-24,2025-11-27,2026-03-31,Internal,New,Yet to start,,false,,0,2.5,1773716004,0,,2025-11-08
Build expertise in Supply Chain Sustainability,Use Claude Code to test - Vendor performance report & improvement plan (Custom GPT) development for Hetero,U08MDDVKE1X,2025-11-24,2026-02-19,2026-03-20,Hetero,New,Completed,,true,,0,4,1774003957,0,2026-03-20,2025-11-08
Build expertise in Supply Chain Sustainability,SCS Framework,U08MDDVKE1X,2025-12-10,,2025-12-10,Internal,New,Completed,,true,U0960SQTB25,0,3,1765456693,0,,2025-11-08
Croda _ Scope 3 data,"• Clean up of Files
• Assist Dhanraj
• Dashboard View",U08MDDVKE1X,2025-12-29,,2026-01-02,Croda,New,Completed,,true,,0,5,1767358941,0,2026-01-02,2025-11-08
Data Cleaning and Data Visualization,Prepare a Energy Dashboard for Garware,U08MDDVKE1X,2025-12-26,,2025-12-25,Internal,New,Completed,,true,,0,4.5,1767163739,0,,2025-11-08
Be an expert in Integrated Reporting,"RM for IR, Learn icon for IR",U08MDDVKE1X,2025-12-17,,2025-12-19,Internal,New,Completed,,true,,0,3,1766370146,0,,2025-11-08
Optimize Portal Integration,Develop & Update Learn icon on OSH,U08MDDVKE1X,2025-12-11,,2025-12-12,Internal,Upgrade,Completed,,true,,0,6.5,1766370110,0,,2025-11-08
OSH Manuals Update,"Update the OSH Manuals for CSO , Maker and Checker",U06LK54V5EF,2025-11-06,,2025-11-07,Internal,BAU,Completed,,false,,0,6,1762487546,0,,2025-11-06
Rustomjee In person meeting,Rustomjee In person meeting,U06LK54V5EF,2025-11-03,,2025-11-05,Rustomjee,BAU,Completed,,false,,0,2,1773222966,0,,2025-11-05
Maturity Assessment,,U0877RUHX4M,2025-11-10,,2025-11-14,Internal,BAU,Completed,,true,,0,4,1767625340,0,,2025-11-03
Governance Board PPT,,U0877RUHX4M,2025-11-03,,2025-11-07,Calibre,BAU,Completed,Link,true,,0,5,1767625341,0,,2025-11-03
Development of GRI report,"Development of GRI-compliant Sustainability Report with Q1, Q2 and Q3 ESG data",U08MDDVKE1X,2026-02-09,,2026-03-02,Injaz,BAU,Completed,,false,,0,6,1773023005,0,2026-03-09,2025-11-03
Development of GRI report,Data collection and follow up for the data : Write 2 sections,U08MDDVKE1X,2026-02-09,,2026-02-19,Injaz,BAU,Completed,,true,,0,5,1771592157,0,2026-02-20,2025-11-03
ESG data collection for GRI report,"Data collection and calculation of all key ESG metrics needed for customer reports and GRI report for Q1, Q2 and Q3",U08MDDVKE1X,2026-01-13,,2026-01-16,Injaz,BAU,Completed,,true,,0,5,1768740346,0,2026-01-18,2025-11-03
ESG data collection for GRI report,Training of above key stakeholders,U08MDDVKE1X,2025-11-11,,2025-12-18,Alliance,BAU,Completed,,true,,0,1,1766141587,0,,2025-11-03
ESG data collection for GRI report and Trainings GRI,Creating a digital replica of Injaz's operations on Oren Sustainability Hub platform and Trainings,U08MDDVKE1X,2025-12-09,,2026-01-16,Injaz,BAU,Completed,,true,,0,4,1768740337,0,2026-01-18,2025-11-03
Conduct Materiality Assessment,Leadership interviews,U0877RUHX4M,2025-10-27,,2026-01-08,Calibre,BAU,Completed,,false,,0,5,1767936608,0,2026-01-09,2025-11-03
GRI ESG Report development,Training of stakeholders,U0960SQTB25,,,2026-03-31,Alliance,BAU,Completed,,false,,0,8,1773827357,0,2026-03-18,2025-11-03
Create custom GPT for IR,Need RM,U0877RUHX4M,2025-11-10,,2025-11-14,Internal,BAU,Completed,,true,,0,5,1767625342,0,,2025-11-03
ESG gov framework,Revisit the framework and add,U0877RUHX4M,2025-11-03,,2025-11-07,Calibre,BAU,Completed,,true,,0,2,1767625265,0,,2025-11-03
GRI ESG Report development,Identification of locations and key stakeholders (makers and checkers) who would be responsible for data collection through the Responsibility Matrix (RM),U0960SQTB25,,,2026-03-31,Alliance,BAU,Completed,,false,,0,7,1773827353,0,2026-03-18,2025-11-03
CBUAE climate notice doc,Update the response with small bank viewpoint.,U0877RUHX4M,2025-11-03,,2025-11-13,BSI,BAU,Completed,,true,,0,4,1767625264,0,,2025-11-03
Ecovadis submission,,U0960SQTB25,2025-10-03,,2025-11-04,Metrochem,BAU,Completed,,false,,1,10,1773715648,7,2026-03-17,2025-11-03
GRI ESG Report development,"Review of Q1, Q2, Q3 and Q4 data along with annual data and any pending data that is required at this point.",U08MDDVKE1X,2026-01-12,,2026-01-07,Alliance,BAU,Completed,,true,,0,5,1767961287,0,2026-01-09,2025-11-03
ADF Meeting,Check with the users and Mam for the configuration and data collection update,U06LK54V5EF,2025-10-29,,2025-11-06,ADF,BAU,Completed,,false,,0,2,1762487574,0,,2025-10-28
STARS doc,Close the final comments.,U0877RUHX4M,2025-10-28,,2025-10-31,IIT Bombay,BAU,Completed,,true,,0,1,1767625344,0,,2025-10-27
Create walkthrough videos of OSH,Make updated walkthrough videos of OSH,U06LK54V5EF,2025-10-27,,2025-11-21,Internal,New,Completed,,false,,0,10,1765280342,0,,2025-10-27
Prepare newsletters for TCIL,Make Newsletters for Upcoming events till December,U06LK54V5EF,2025-10-27,,2025-12-09,TCIL,New,Completed,,false,,0,4,1765280381,0,,2025-10-27
Metrochem Report Editing,Edit ESG PDF Report of metrochem,U06LK54V5EF,2025-10-27,,2025-10-31,Metrochem,New,Completed,,false,,0,3,1762146149,0,,2025-10-27
Follow up with Arene Life,Gather BRSR data,U06LK54V5EF,2025-10-29,,2025-11-10,Arene,New,Completed,,false,,0,0.5,1762834417,0,,2025-10-27
OKR sheet,For Q4,U0877RUHX4M,2025-10-22,,2025-10-24,Internal,BAU,Completed,,true,,0,2,1767625263,0,,2025-10-22
Sustainability Report,"Update the E & S numbers, for group",U0877RUHX4M,2025-10-22,,2025-10-25,Calibre,BAU,Completed,,true,,0,2,1767625347,0,,2025-10-21
Update MIS 2.0,"Beautify, charts, dashboard, and add a few things",U0877RUHX4M,2025-10-22,,2025-10-23,Calibre,BAU,Completed,Link,true,,0,4,1767625246,0,,2025-10-21
Re-visit maturity questions,for social half & gov,U0877RUHX4M,2025-10-22,,2025-11-07,Internal,BAU,Completed,,true,,0,6,1767625262,0,,2025-10-16
Update scope 2 for product,"For electricity, heating & cooling for most countries",U0877RUHX4M,2025-10-20,,2025-10-31,Internal,BAU,Completed,,true,,0,6,1767625261,0,,2025-10-16
ADF HR training,ADF HR training,U06LK54V5EF,2025-10-14,,2025-10-14,ADF,New,Completed,,false,,0,2,1773223029,0,,2025-10-14
ESG MIS,Update and add scope 3,U0877RUHX4M,2025-10-13,,2025-10-14,Calibre,BAU,Completed,,true,,0,2,1767625260,0,,2025-10-13
Governance Framework,Draft esg gov for calibre,U0877RUHX4M,2025-10-13,,2025-10-17,Calibre,BAU,Completed,,true,,0,4,1767625260,0,,2025-10-13
IFRS deploy,Deploy IFRS on OSH demo,U0960SQTB25,,,2025-10-17,Internal,New,Completed,,false,,0,8,1762143134,0,,2025-10-13
Calibre's governance framework,Draft ESG Governance for Calibre,U0877RUHX4M,2025-10-13,,2025-10-17,Calibre,BAU,Completed,,false,,0,4,1773715841,0,2026-03-17,2025-10-13
Preapare HSE training PPT,Prepare HSE training for TCHL,U06LK54V5EF,2025-10-20,,2025-10-29,TCIL,New,Completed,,false,,0,2,1761710129,0,,2025-10-13
Maturity assessment,Maturity assessment and policy documents review,U0960SQTB25,2025-10-13,,2025-10-16,Abu Dhabi Precast,BAU,Completed,,false,,0,4,1762143211,0,,2025-10-13
OSH Policy review,OSH policy generation review,U0960SQTB25,2025-10-13,,2025-10-15,Internal,Upgrade,Completed,,false,,0,6,1762143128,0,,2025-10-13
Metrochem Data Analysis,Check all BRSR data and review,U06LK54V5EF,2025-10-13,,2025-10-27,Metrochem,New,Completed,,false,,0,3,1761537318,0,,2025-10-10
ADF PY data Lock,Lock FY 24-25 data in OSH,U06LK54V5EF,2025-10-15,,2025-10-23,ADF,New,Completed,,false,,0,4,1761223132,0,,2025-10-10
Gulbrandsen report design,Update the new content and design,U06LK54V5EF,2025-10-08,,2025-10-27,Gulbrandsen,BAU,Completed,,false,,0,5,1761537293,0,,2025-10-08
Maturity Questions,Check and change questions,U0877RUHX4M,2025-10-06,,2025-10-10,Internal,BAU,Completed,Link,true,,0,5,1767625259,0,,2025-10-07
Update governance framework,"Add policies, SOPs, Risks, Training",U0877RUHX4M,2025-10-06,,2025-10-10,BSI,BAU,Completed,Link,true,,0,3,1767625258,0,,2025-10-06
Gulbrandsen report design,Gulbrandsen report design,U06LK54V5EF,2025-10-07,,2025-10-15,Gulbrandsen,BAU,Completed,,false,,0,3,1773223020,0,,2025-10-06
Materiality Matrix,Conclude the materiality matrix,U0877RUHX4M,2025-10-06,,2025-10-08,oren,BAU,Completed,Link,true,,0,2,1767625257,0,,2025-10-06
OKR Q3,Draft OKRs for next quater,,2025-10-07,,2025-10-10,Internal,BAU,Completed,,false,,0,2,1773715556,0,2026-03-17,2025-10-05
OKR,Fill OKR form,,2025-10-03,,2025-10-03,Internal,BAU,Completed,,false,,0,2,1773715553,0,2026-03-17,2025-10-02
SR for product output,Create gpt for GRI report from product to SR,U0877RUHX4M,2025-09-29,,2025-10-03,Gulbrandsen,Upgrade,Completed,,true,,0,5,1767625256,0,,2025-09-29
Create MS form,To confirm on updated questions shared and create the MS form for internal and external,U0877RUHX4M,2025-10-13,,2025-11-21,MaxLife,BAU,Completed,,true,,0,1.5,1767625343,0,,2025-09-29
Sustainability Report,Compile the entire report with narrations from product,U0877RUHX4M,2025-11-03,,2026-04-10,Tecton,BAU,Yet to start,,false,,0,8,1773642197,0,,2025-09-29
"Prepare ""areas of improvement"" document for all clients",Create the document with atleast 1 improvement area.,U0877RUHX4M,2025-09-29,,2025-10-03,Internal,BAU,Completed,,true,,0,4,1767625346,0,,2025-09-29
ESG gap template ,To get the template reviewed and add any additions ,U0877RUHX4M,2025-09-29,,2025-10-01,Internal,Upgrade,Completed,,true,UJ9KR034Z,0,2,1767625255,0,,2025-09-29
Meeting with Amit sir,To incorporate Amit sirs suggestion on the updated MIS excel.,U0877RUHX4M,2025-09-30,,2025-10-03,Calibre,BAU,Completed,,false,,0,2,1773937553,0,2026-03-19,2025-09-28
GHG Emissions and Policy Report,Create a deck for scope 1 and 2 and conclude the policy gap,U0877RUHX4M,2025-10-06,,2025-10-10,Calibre,BAU,Completed,Link,true,,0,4,1767625254,0,,2025-09-28
Gulbrandsen Report Design,Update GRI section,U06LK54V5EF,2025-09-25,,2025-09-26,Gulbrandsen,New,Completed,,false,,0,3,1758859220,0,,2025-09-25
Conduct training for Arene life,Provide department wise training,U06LK54V5EF,2025-09-22,,2025-10-07,Arine Lifescience,BAU,Completed,,false,,0,3,1759836870,0,,2025-09-22
IFRS webinar content,IFRS webinar conent,U0960SQTB25,,,2025-09-22,Internal,,Completed,,false,,0,4,1758602704,0,,2025-09-22
Materiality Assessment,Rolling out questionnaire for materiality assessment,U0960SQTB25,,,2026-03-31,Abu Dhabi Precast,BAU,Completed,,false,,0,3,1773827344,0,2026-03-18,2025-09-22
Configure OSH,Configure OSH for Arine Life Science,U06LK54V5EF,2025-09-19,,2025-09-24,Arine Lifescience,BAU,Completed,,false,,0,3,1758715909,0,,2025-09-19
Sanket X Kabir meeting,Discussion on monthly cadence call and OSH update,U06LK54V5EF,2025-09-16,,2025-09-16,Rustomjee,New,Completed,,false,,0,1,1758018103,0,,2025-09-16
CDP,CDP data compilation,U0960SQTB25,2025-09-11,,2025-09-12,SPRL,BAU,Completed,,false,,0,2,1757916674,0,,2025-09-15
Assign safety questions to Asiana,Assign safety questions to Sagar Tapase,U06LK54V5EF,2025-09-15,,2025-09-15,Rustomjee,New,Completed,,false,,0,0.5,1757937018,0,,2025-09-15
Kickoff,Kickoff meeting,U0960SQTB25,2025-09-16,,2025-09-17,Garware,BAU,Completed,,false,,0,6,1758103723,0,,2025-09-15
PPT Update for Leadership Indicator,Add Leadership indicator questions,U06LK54V5EF,2025-09-16,,2025-09-19,Internal,New,Completed,,false,,0,4,1758104728,0,,2025-09-15
Kabir TCIL Intro call,Conduct introduction call with TCIL,UJ9KR034Z,2025-09-15,,2025-09-15,TCIL,New,Completed,,false,,0,0.5,1766571267,0,,2025-09-15
Material Topics deck,Use HAMT template for the deck,U0877RUHX4M,2025-09-16,,2025-09-17,BSI,BAU,Completed,,true,,0,1,1767625295,0,,2025-09-15
Data collection MIS,Create MIS for calibre as per KPI list.,U0877RUHX4M,2025-09-15,,2025-09-19,Calibre,Upgrade,Completed,,true,,0,2,1767625251,0,,2025-09-15
CDP Assurance,CDP data verification,U0960SQTB25,2025-09-09,,2025-09-15,AquaChemie,BAU,Completed,,false,,0,8,1757916263,0,,2025-09-12
Monthly Cadence Call with Rustomjee,Meeting with Pratiksha to discuss data status and progress of BRSR 25-26,U06LK54V5EF,2025-09-15,,2025-09-15,Rustomjee,New,Completed,,false,,0,0.5,1757936980,0,,2025-09-12
Rustomjee Site deletion,Remove erika site,U06LK54V5EF,2025-09-12,,2025-09-17,Rustomjee,New,Completed,,false,,0,0.5,1758167661,0,,2025-09-12
GHG Assurance,Conduct data verification for 5 scope 3 categories,"U0877RUHX4M,U0960SQTB25",2025-09-10,,2025-09-15,AquaChemie,BAU,Completed,,true,,0,8,1767625245,0,,2025-09-11
Monthly Monitoring,March month status report,U08MDDVKE1X,2026-04-28,2026-03-28,2026-04-28,Garware,BAU,Yet to start,,false,,0,5,1773164413,0,,2025-09-11
Monthly Monitoring - Garware Visit,"• January and February month status report
• Scope 3 Spend Based Category 1",U08MDDVKE1X,2026-02-24,2026-03-16,2026-03-27,Garware,BAU,Yet to start,,false,,0,5,1774238864,0,,2025-09-11
Monthly Monitoring and Custom Report,"• December month status report
• Create a excel sheet with a structure of Garware Custom Report
• Visit on Wed/ Friday",U08MDDVKE1X,2026-01-27,,2026-02-05,Garware,BAU,Completed,,true,,0,5,1770368015,0,2026-02-06,2025-09-11
Monthly Monitoring,October - November month status report,U08MDDVKE1X,2026-01-07,,2026-01-07,Garware,BAU,Completed,,true,,0,2,1767961312,0,2026-01-09,2025-09-11
Monthly Monitoring,April - May - June - July - August - September month status report,U08MDDVKE1X,2025-12-04,,2025-12-29,Garware,BAU,Completed,,true,,0,2,1767002240,0,,2025-09-11
Training Workshop,Pune Team,UJ9KR034Z,2025-09-23,,2025-10-14,Garware,BAU,Completed,,false,,0,8,1766572130,0,,2025-09-11
Deployment of OSH platform,Conduct training for all department,U06LK54V5EF,2025-09-12,,2025-09-12,Emmbi Industries,New,Completed,,false,,0,5,1757664606,0,,2025-09-09
Deployment of OSH platform,Ass users and configure OSH,U06LK54V5EF,2025-09-10,,2025-09-11,Emmbi Industries,New,Completed,,false,,0,2,1757511432,0,,2025-09-09
JLL Data review,Review Q1 data and find discrepancies,U06LK54V5EF,2025-09-09,,2025-09-12,JLL,New,Completed,,false,,0,5,1757672142,0,,2025-09-09
Development of GRI report,Submission of final GRI report with FY 2025 data,U0960SQTB25,,,2026-03-31,Abu Dhabi Precast,BAU,Yet to start,,false,,0,0.5,1773716592,0,,2025-09-08
Development of GRI report,Development of GRI-compliant Sustainability Report with Q4 ESG data,U0960SQTB25,,,2026-03-31,Abu Dhabi Precast,BAU,Yet to start,,false,,0,2,1773716586,0,,2025-09-08
Development of GRI report,"Submission of final GRI report with Q1, Q2 and Q3 data",U0960SQTB25,,,2026-03-31,Abu Dhabi Precast,BAU,Completed,,false,,0,0.5,1773827416,0,2026-03-18,2025-09-08
Development of GRI report,"Development of GRI-compliant Sustainability Report with Q1, Q2 and Q3 ESG data",U0960SQTB25,,,2026-03-31,Abu Dhabi Precast,BAU,Completed,,false,,0,10,1773827413,0,2026-03-18,2025-09-08
Implementation of initiatives to fill gaps,Conducting training as per the training calendar,U0960SQTB25,,,2026-03-31,Abu Dhabi Precast,BAU,Completed,,false,,0,5,1773827327,0,2026-03-18,2025-09-08
Implementation of initiatives to fill gaps,Development of training calendar in alignment of gaps identified,U0960SQTB25,,,2026-03-31,Abu Dhabi Precast,BAU,Completed,,false,,0,2,1773827322,0,2026-03-18,2025-09-08
Implementation of initiatives to fill gaps,Development of ESG policies as identified,U0960SQTB25,,,2026-03-31,Abu Dhabi Precast,BAU,Completed,,false,,0,4,1773827291,5,2026-03-18,2025-09-08
Materiality Assessment,Creating of materiality matrix according to responses to materiality assessment,U0960SQTB25,,,2026-03-31,Abu Dhabi Precast,BAU,Completed,,false,,0,1,1773827283,0,2026-03-18,2025-09-08
Materiality Assessment,Identification of list of material topics,U0960SQTB25,,,2025-10-06,Abu Dhabi Precast,BAU,Completed,,false,,0,2,1759919925,0,,2025-09-08
Jyothy Labs assignment and training,Add new user at JLL and Provide OSH and P6 training,U06LK54V5EF,2025-09-08,,2025-09-09,JLL,BAU,Completed,,false,,0,1,1757334366,0,,2025-09-08
Baseline assessment,Preparation and presentation of baseline assessment to top management,U0960SQTB25,,,2025-10-09,Abu Dhabi Precast,BAU,Completed,,false,,0,4,1760327220,0,,2025-09-08
Add Ashiana Project Rustomjee,Add Mr. Sagar Tapase and provide training,U06LK54V5EF,2025-09-08,,2025-09-08,Rustomjee,New,Completed,,false,,0,0.5,1757334371,0,,2025-09-08
Metrochem Training,Conduct OSH training,U06LK54V5EF,2025-09-04,,2025-09-08,Metrochem,New,Completed,,false,,0,1,1757331438,0,,2025-09-04
Data Anomaly Detection,Work with tech team regarding data anomaly alert automation,U06LK54V5EF,2025-09-01,,2025-09-16,Internal,New,Completed,,false,,0,2,1758001144,0,,2025-09-02
Chatbot Documentation,Create a document for chatbot Q/A,U06LK54V5EF,2025-09-01,,2025-09-09,Internal,New,Completed,,false,,0,2,1757390251,0,,2025-09-02
Responsibility Matrix,Finalise Responsibility Matrix,U0877RUHX4M,2025-09-04,,2025-12-19,Infra.Market,BAU,Completed,Delay from clients end. ,true,,0,2,1767625346,0,,2025-09-01
Scope 3,Create templates for C13-15,U0877RUHX4M,2025-09-22,,2025-10-03,Internal,BAU,Completed,,true,,0,2,1767625305,0,,2025-09-01
Scope 3,Create templates for C8-12,U0877RUHX4M,2025-09-22,,2025-09-26,Internal,BAU,Completed,,true,,0,2,1767625304,0,,2025-09-01
Scope 3,Create templates for C5-7,U0877RUHX4M,2025-09-08,,2025-09-17,Internal,BAU,Completed,Link,true,,0,2,1767625303,0,,2025-09-01
ESG Maturity Gap Template,Upgrade the existing model,U0877RUHX4M,2025-09-15,,2025-09-19,Internal,Upgrade,Completed,,true,,0,3,1767625350,0,,2025-09-01
Rustomjee Training,Conduct training in OSH & BRSR HR Team,U06LK54V5EF,2025-09-22,,2025-10-14,Rustomjee,New,Completed,,false,,0,2,1760426616,0,,2025-09-01
INDOCO Kickoff meeting,Schedule INDOCO BRSR 25-26 Kickoff session,U06LK54V5EF,2025-09-12,,2025-11-07,Indoco,New,Completed,,false,,0,0.5,1762344655,0,,2025-09-01
GRI Submission,Final Report,U08MDDVKE1X,2025-09-09,,2025-12-17,Gulbrandsen,BAU,Completed,,true,,0,1,1766030407,0,,2025-09-01
GRI report,"• Address doubts 
• Finalise RM",U0877RUHX4M,2025-12-22,,2026-01-23,BSI,BAU,Completed,,false,,0,2.5,1769181401,0,2026-01-23,2025-09-01
Sustainability Report (SR),Share SR blueprint,U0877RUHX4M,2025-12-08,,2025-12-13,BSI,BAU,Completed,,true,,0,1,1767625349,0,,2025-09-01
Sustainability Report (SR),Meeting for RM understanding,U0877RUHX4M,2025-10-23,,2025-12-18,BSI,BAU,Completed,,true,,0,2,1767625348,0,,2025-09-01
Climate Risk Management (Mitigation and Monitoring),Share the climate risk register,UJ9KR034Z,2025-12-28,,2026-03-31,BSI,BAU,Yet to start,,false,,0,2,1771906857,0,,2025-09-01
Climate Risk Management (Mitigation and Monitoring),Recommend risk monitoring process,UJ9KR034Z,2025-12-21,,2026-03-31,BSI,BAU,Yet to start,,false,,0,2,1771906932,0,,2025-09-01
Climate Risk Management (Mitigation and Monitoring),Recommend climate risk mitigation action plan,UJ9KR034Z,2025-12-14,,2026-03-31,BSI,BAU,Yet to start,,false,,0,2,1771906927,0,,2025-09-01
Climate Risk Management (Strategy & Planning),Conduct climate risk management workshops (department wise),UJ9KR034Z,2025-11-28,,2026-03-31,BSI,BAU,Yet to start,,false,,0,3,1771906938,0,,2025-09-01
Climate Risk Management (Strategy & Planning),Review the climate risk assessment report and framework,UJ9KR034Z,2025-11-22,,2026-03-31,BSI,BAU,Yet to start,,false,,0,2,1771906918,0,,2025-09-01
Climate Risk Management (Strategy & Planning),Prepare climate risk assessment report,UJ9KR034Z,2025-11-16,,2026-03-31,BSI,BAU,Yet to start,,false,,0,2,1771906911,0,,2025-09-01
Climate Risk Management (Strategy & Planning),Conclude climate risk assessment,UJ9KR034Z,2025-11-11,,2026-03-31,BSI,BAU,Yet to start,,false,,0,2,1771906904,0,,2025-09-01
Climate Risk Management (Strategy & Planning),Recommend climate risk framework,UJ9KR034Z,2025-11-09,,2026-03-31,BSI,BAU,Yet to start,,false,,0,2,1771906897,0,,2025-09-01
Climate Risk Management (Strategy & Planning),Conduct scenario analysis,UJ9KR034Z,2025-10-29,,2026-03-31,BSI,BAU,Yet to start,,false,,0,2,1771906891,0,,2025-09-01
Climate Risk Management (Strategy & Planning),Conduct sector-specific climate risk segmentation,UJ9KR034Z,2025-10-29,,2026-03-31,BSI,BAU,Yet to start,,false,,0,2,1771906885,0,,2025-09-01
Climate Risk Management (Strategy & Planning),Develop a climate risk heat map and exposure modelling,UJ9KR034Z,2025-10-08,,2026-03-31,BSI,BAU,Yet to start,,false,,0,2,1771906878,0,,2025-09-01
Climate Risk Management (Strategy & Planning),Draft climate risk policy,UJ9KR034Z,2025-10-08,,2026-03-31,BSI,BAU,Yet to start,,false,,0,2,1771906870,0,,2025-09-01
Materiality assessment,"• Create forms for board, customer, etc
• Follow up on employees responses",U0877RUHX4M,2025-10-20,,2026-01-29,BSI,BAU,Completed,,true,,0,3,1769939737,0,2026-02-01,2025-09-01
